original_expert_id,model,layer,IC,EP,total_tokens_routed,unique_tokens_routed,vocab_entropy,top50_mass_pct
210,StdMoE-B,3,0.3165,0.4440,2807,1416,6.902,9.5
145,StdMoE-B,3,0.2056,0.4073,4930,196,1.076,96.1
15,StdMoE-B,3,0.2253,0.4693,1523,872,6.376,23.8
155,StdMoE-B,3,0.1566,0.4134,3485,710,4.930,11.9
54,StdMoE-B,3,0.2402,0.4437,2782,1068,6.405,15.3
180,StdMoE-B,3,0.2743,0.4108,3226,28,0.349,99.3
239,StdMoE-B,3,0.2095,0.3759,2306,661,5.178,45.8
241,StdMoE-B,3,0.3680,0.4186,1917,438,4.872,19.9
169,StdMoE-B,3,0.1247,0.4048,3224,70,0.542,98.1
223,StdMoE-B,3,0.2278,0.2853,2982,59,0.880,98.2
68,StdMoE-B,3,0.3509,0.3001,2299,104,1.527,96.0
149,StdMoE-B,3,0.1088,0.3902,1764,564,5.498,18.8
131,StdMoE-B,3,0.1026,0.2919,3185,456,4.997,26.6
156,StdMoE-B,3,0.1802,0.4244,2565,456,4.641,28.5
13,StdMoE-B,3,0.1118,0.3191,4463,607,3.957,10.6
240,StdMoE-B,3,0.1342,0.4050,3426,1113,6.470,7.9
200,StdMoE-B,3,0.2272,0.4122,2887,1138,6.341,8.5
114,StdMoE-B,3,0.3962,0.3451,1161,192,4.013,61.6
0,StdMoE-B,3,0.3580,0.4426,1192,758,6.367,19.9
143,StdMoE-B,3,0.5531,0.3761,1825,778,6.230,16.5
165,StdMoE-B,3,0.2727,0.3900,1445,97,2.434,95.0
67,StdMoE-B,3,0.1203,0.4377,1286,245,4.366,53.3
142,StdMoE-B,3,0.1854,0.3944,970,533,5.931,24.3
237,StdMoE-B,3,0.1559,0.3948,2449,232,3.263,84.3
204,StdMoE-B,3,0.3077,0.4314,2575,1084,6.455,13.6
226,StdMoE-B,3,0.1724,0.4412,2254,206,3.424,76.0
192,StdMoE-B,3,0.1440,0.3275,1903,267,3.918,55.6
178,StdMoE-B,3,0.1975,0.4371,415,70,2.811,85.8
69,StdMoE-B,3,0.3028,0.2829,2350,31,0.808,99.1
